ADM3_PCODE,ADM3_EN,admin3AltName1_en,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
ET020105,Mile,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,72142.00,38452.00,33689.00,11572.00,12348.00,9240.00,5510.00,2064.00,6245.00,6033.00,4530.00,4010.00,2971.00,2166.00,1686.00,1149.00,831.00,1787.00,6344.00,6769.00,5088.00,3127.00,1171.00,2826.00,2657.00,2255.00,2152.00,1760.00,1202.00,842.00,711.00,494.00,1053.00,5228.00,5578.00,4152.00,2383.00,893.00,3418.00,3377.00,2276.00,1858.00,1210.00,963.00,844.00,437.00,337.00,733.00
ET020106,Chifra,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,110953.00,60340.00,50614.00,18313.00,19541.00,14696.00,8524.00,3193.00,9119.00,8625.00,6855.00,5907.00,4468.00,3358.00,2542.00,1786.00,1254.00,2772.00,10168.00,10850.00,8298.00,4989.00,1869.00,4361.00,3730.00,3446.00,3137.00,2688.00,1883.00,1333.00,1130.00,733.00,1724.00,8144.00,8690.00,6398.00,3534.00,1324.00,4757.00,4895.00,3409.00,2770.00,1780.00,1476.00,1209.00,657.00,521.00,1048.00
ET020107,Dubti town,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,37427.00,19710.00,17717.00,4590.00,4898.00,3432.00,2733.00,1024.00,4481.00,4912.00,2650.00,2849.00,1863.00,1057.00,1002.00,558.00,516.00,860.00,2619.00,2795.00,1678.00,1356.00,508.00,1669.00,2659.00,1429.00,1815.00,1126.00,624.00,396.00,328.00,377.00,331.00,1971.00,2103.00,1754.00,1377.00,516.00,2812.00,2253.00,1221.00,1034.00,737.00,433.00,606.00,231.00,139.00,529.00
ET020108,Kori,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,34077.00,18116.00,15961.00,5936.00,6334.00,4813.00,2641.00,989.00,2535.00,2266.00,2043.00,1643.00,1296.00,1045.00,754.00,554.00,365.00,863.00,3195.00,3409.00,2700.00,1553.00,582.00,1260.00,829.00,973.00,782.00,757.00,563.00,408.00,347.00,192.00,564.00,2741.00,2925.00,2113.00,1087.00,407.00,1275.00,1438.00,1070.00,861.00,539.00,482.00,345.00,207.00,173.00,299.00
ET020109,Adar,Adaar,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,63468.00,33829.00,29639.00,10181.00,10863.00,8129.00,4848.00,1816.00,5494.00,5308.00,3986.00,3528.00,2614.00,1905.00,1484.00,1011.00,731.00,1572.00,5581.00,5956.00,4476.00,2750.00,1030.00,2487.00,2337.00,1984.00,1894.00,1549.00,1057.00,741.00,626.00,435.00,927.00,4599.00,4907.00,3653.00,2097.00,785.00,3007.00,2971.00,2001.00,1635.00,1065.00,848.00,743.00,385.00,297.00,645.00
ET020110,Gerani,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,73158.00,38936.00,34222.00,12059.00,12867.00,9679.00,5613.00,2103.00,6047.00,5717.00,4528.00,3893.00,2938.00,2211.00,1680.00,1173.00,824.00,1825.00,6566.00,7005.00,5360.00,3222.00,1207.00,2813.00,2399.00,2222.00,2019.00,1733.00,1215.00,860.00,729.00,473.00,1113.00,5493.00,5862.00,4319.00,2392.00,896.00,3235.00,3318.00,2306.00,1875.00,1205.00,996.00,820.00,444.00,352.00,711.00
ET020111,Asayita town,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,35053.00,18389.00,16664.00,5243.00,5595.00,4128.00,2644.00,990.00,3376.00,3408.00,2282.00,2149.00,1526.00,1033.00,855.00,547.00,425.00,851.00,2869.00,3062.00,2191.00,1431.00,536.00,1409.00,1608.00,1149.00,1214.00,900.00,576.00,394.00,331.00,269.00,450.00,2374.00,2533.00,1937.00,1212.00,454.00,1967.00,1800.00,1132.00,935.00,626.00,456.00,462.00,216.00,156.00,402.00
ET020198,Samera Logiya town,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,35681.00,18791.00,16890.00,4376.00,4670.00,3272.00,2606.00,976.00,4272.00,4683.00,2526.00,2716.00,1776.00,1008.00,955.00,532.00,492.00,820.00,2497.00,2664.00,1599.00,1293.00,484.00,1591.00,2535.00,1362.00,1731.00,1074.00,595.00,377.00,312.00,360.00,316.00,1879.00,2005.00,1672.00,1313.00,492.00,2681.00,2148.00,1164.00,986.00,703.00,413.00,577.00,220.00,133.00,504.00
ET020201,Erebti,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,63804.00,34866.00,28939.00,10985.00,11722.00,8891.00,4944.00,1852.00,4845.00,4382.00,3844.00,3147.00,2466.00,1953.00,1421.00,1040.00,694.00,1617.00,6080.00,6488.00,5095.00,2963.00,1110.00,2449.00,1736.00,1903.00,1582.00,1480.00,1085.00,782.00,665.00,383.00,1063.00,4905.00,5233.00,3795.00,1981.00,742.00,2396.00,2646.00,1941.00,1566.00,986.00,867.00,640.00,375.00,310.00,554.00
ET020202,Kunneba,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,63549.00,33574.00,29975.00,10733.00,11453.00,8634.00,4883.00,1829.00,5009.00,4680.00,3890.00,3265.00,2495.00,1935.00,1431.00,1023.00,705.00,1584.00,5755.00,6141.00,4760.00,2815.00,1054.00,2393.00,1876.00,1876.00,1636.00,1461.00,1047.00,748.00,634.00,389.00,991.00,4978.00,5311.00,3875.00,2068.00,775.00,2616.00,2804.00,2014.00,1630.00,1035.00,889.00,684.00,389.00,316.00,593.00
