ADM3_PCODE,ADM3_EN,admin3AltName1_en,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
ET040909,Daro Lebu,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,198541.00,98872.00,99669.00,30238.00,32265.00,30112.00,15479.00,5798.00,14779.00,14478.00,10960.00,11579.00,7649.00,5839.00,4827.00,3729.00,3441.00,7368.00,15592.00,16637.00,14957.00,8083.00,3028.00,7048.00,6661.00,5202.00,5451.00,3840.00,2883.00,2176.00,2037.00,1667.00,3610.00,14647.00,15629.00,15155.00,7396.00,2770.00,7731.00,7816.00,5759.00,6128.00,3809.00,2954.00,2651.00,1693.00,1774.00,3758.00
ET040910,Boke,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,150178.00,74083.00,76095.00,23420.00,24990.00,23286.00,11481.00,4301.00,10575.00,10351.00,8101.00,8681.00,5796.00,4413.00,3675.00,2858.00,2627.00,5622.00,11977.00,12780.00,11482.00,6003.00,2248.00,5035.00,4604.00,3728.00,4001.00,2868.00,2143.00,1639.00,1553.00,1264.00,2757.00,11443.00,12210.00,11804.00,5478.00,2052.00,5540.00,5748.00,4373.00,4680.00,2927.00,2271.00,2036.00,1305.00,1363.00,2865.00
ET040911,Kuni /Oda Bultum,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,219920.00,111946.00,107973.00,35239.00,37602.00,34930.00,16488.00,6176.00,14486.00,14116.00,11518.00,12551.00,8504.00,6453.00,5400.00,4263.00,3881.00,8312.00,18592.00,19839.00,17811.00,8981.00,3364.00,7198.00,6309.00,5351.00,5906.00,4318.00,3208.00,2491.00,2391.00,1936.00,4252.00,16647.00,17763.00,17118.00,7507.00,2812.00,7288.00,7808.00,6168.00,6644.00,4186.00,3245.00,2909.00,1872.00,1945.00,4059.00
ET040912,Gemechis,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,242797.00,123212.00,119585.00,38548.00,41132.00,38240.00,18346.00,6872.00,16386.00,15972.00,12837.00,13908.00,9381.00,7126.00,5950.00,4680.00,4271.00,9148.00,20287.00,21647.00,19439.00,9917.00,3715.00,8069.00,7175.00,5990.00,6551.00,4758.00,3541.00,2736.00,2615.00,2122.00,4649.00,18260.00,19485.00,18801.00,8428.00,3157.00,8318.00,8797.00,6847.00,7357.00,4623.00,3584.00,3214.00,2065.00,2150.00,4499.00
ET040913,Chiro Zuria,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,236078.00,120199.00,115878.00,37829.00,40365.00,37496.00,17700.00,6630.00,15550.00,15153.00,12365.00,13473.00,9129.00,6927.00,5796.00,4576.00,4167.00,8922.00,19963.00,21301.00,19124.00,9643.00,3612.00,7728.00,6774.00,5745.00,6342.00,4636.00,3444.00,2674.00,2567.00,2079.00,4566.00,17866.00,19064.00,18372.00,8057.00,3018.00,7822.00,8379.00,6619.00,7131.00,4493.00,3483.00,3122.00,2009.00,2088.00,4357.00
ET040914,Bedesa,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,33225.00,17258.00,15966.00,3668.00,3914.00,3755.00,3161.00,1184.00,4009.00,3942.00,2311.00,2135.00,1253.00,984.00,752.00,528.00,517.00,1114.00,1989.00,2122.00,1927.00,1544.00,578.00,1841.00,2125.00,1328.00,1158.00,694.00,548.00,359.00,290.00,253.00,502.00,1679.00,1791.00,1829.00,1616.00,605.00,2169.00,1817.00,983.00,977.00,558.00,435.00,393.00,238.00,264.00,612.00
ET040915,Hawi Gudina,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,69713.00,35645.00,34068.00,11173.00,11922.00,11073.00,5228.00,1959.00,4591.00,4472.00,3650.00,3977.00,2696.00,2045.00,1711.00,1352.00,1230.00,2635.00,5920.00,6317.00,5671.00,2860.00,1071.00,2292.00,2009.00,1704.00,1881.00,1375.00,1021.00,793.00,761.00,617.00,1354.00,5253.00,5605.00,5401.00,2369.00,887.00,2300.00,2463.00,1946.00,2096.00,1321.00,1024.00,918.00,591.00,614.00,1281.00
ET040991,Gumbi Bordede,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,91629.00,46452.00,45177.00,14478.00,15448.00,14368.00,6950.00,2603.00,6259.00,6105.00,4870.00,5260.00,3539.00,2690.00,2243.00,1761.00,1609.00,3446.00,7609.00,8119.00,7291.00,3746.00,1403.00,3075.00,2756.00,2281.00,2481.00,1795.00,1337.00,1030.00,983.00,798.00,1746.00,6868.00,7329.00,7076.00,3204.00,1200.00,3184.00,3349.00,2589.00,2780.00,1744.00,1353.00,1213.00,778.00,811.00,1700.00
ET040998,Burqua Dhintu,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,60641.00,30310.00,30331.00,9710.00,10361.00,9631.00,4541.00,1701.00,3996.00,3901.00,3181.00,3466.00,2345.00,1780.00,1492.00,1173.00,1071.00,2292.00,5034.00,5371.00,4823.00,2432.00,911.00,1949.00,1708.00,1449.00,1599.00,1169.00,868.00,674.00,647.00,524.00,1151.00,4676.00,4990.00,4809.00,2109.00,790.00,2047.00,2193.00,1733.00,1866.00,1176.00,912.00,817.00,526.00,546.00,1140.00
ET041000,Babile town,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,32404.00,15825.00,16579.00,3567.00,3806.00,3665.00,3094.00,1159.00,3939.00,3835.00,2238.00,2076.00,1216.00,955.00,737.00,513.00,506.00,1096.00,1824.00,1946.00,1767.00,1416.00,530.00,1688.00,1948.00,1218.00,1062.00,636.00,503.00,329.00,266.00,232.00,460.00,1743.00,1860.00,1899.00,1678.00,629.00,2252.00,1887.00,1020.00,1014.00,580.00,452.00,408.00,247.00,274.00,636.00
ET041001,Kombolcha,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,201554.00,101547.00,100007.00,31124.00,33211.00,30949.00,15563.00,5830.00,14549.00,14224.00,10969.00,11682.00,7772.00,5923.00,4910.00,3820.00,3510.00,7517.00,16247.00,17337.00,15580.00,8259.00,3094.00,7044.00,6534.00,5208.00,5532.00,3937.00,2948.00,2242.00,2113.00,1724.00,3749.00,14877.00,15874.00,15369.00,7304.00,2736.00,7506.00,7690.00,5762.00,6150.00,3836.00,2976.00,2669.00,1707.00,1785.00,3768.00
ET041002,Jarso (East Hararghe),,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,163803.00,82521.00,81282.00,25878.00,27613.00,25687.00,12416.00,4651.00,11187.00,10920.00,8711.00,9408.00,6327.00,4809.00,4012.00,3146.00,2877.00,6160.00,13517.00,14423.00,12954.00,6655.00,2493.00,5462.00,4898.00,4052.00,4407.00,3189.00,2376.00,1831.00,1745.00,1417.00,3102.00,12362.00,13190.00,12733.00,5762.00,2158.00,5724.00,6022.00,4659.00,5001.00,3139.00,2434.00,2182.00,1401.00,1460.00,3058.00
ET041003,Gursum (OR),,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,216403.00,109148.00,107254.00,33564.00,35814.00,33362.00,16660.00,6241.00,15470.00,15104.00,11718.00,12516.00,8346.00,6356.00,5277.00,4113.00,3775.00,8086.00,17557.00,18734.00,16834.00,8861.00,3319.00,7493.00,6901.00,5544.00,5920.00,4228.00,3163.00,2412.00,2279.00,1859.00,4046.00,16007.00,17080.00,16529.00,7800.00,2922.00,7977.00,8204.00,6175.00,6596.00,4118.00,3194.00,2865.00,1834.00,1917.00,4040.00
ET041004,Babile (OR),,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,103507.00,50559.00,52948.00,16560.00,17671.00,16439.00,7738.00,2898.00,6825.00,6678.00,5441.00,5926.00,4003.00,3040.00,2551.00,1998.00,1828.00,3911.00,8397.00,8960.00,8044.00,4056.00,1519.00,3251.00,2849.00,2417.00,2668.00,1950.00,1449.00,1125.00,1080.00,874.00,1920.00,8164.00,8711.00,8395.00,3681.00,1379.00,3574.00,3829.00,3025.00,3258.00,2053.00,1591.00,1427.00,918.00,954.00,1991.00
ET041005,Fedis,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,159185.00,80081.00,79103.00,25078.00,26760.00,24900.00,12095.00,4531.00,10950.00,10687.00,8488.00,9152.00,6147.00,4674.00,3897.00,3052.00,2793.00,5981.00,13085.00,13963.00,12541.00,6464.00,2421.00,5327.00,4795.00,3951.00,4286.00,3096.00,2308.00,1776.00,1691.00,1374.00,3004.00,11993.00,12797.00,12359.00,5631.00,2109.00,5623.00,5892.00,4537.00,4866.00,3051.00,2366.00,2122.00,1362.00,1419.00,2977.00
ET041006,Haro Maya,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,316483.00,157409.00,159073.00,49594.00,52919.00,49281.00,24134.00,9040.00,22053.00,21534.00,16967.00,18242.00,12215.00,9294.00,7747.00,6045.00,5544.00,11873.00,25606.00,27321.00,24542.00,12726.00,4767.00,10569.00,9577.00,7832.00,8457.00,6089.00,4543.00,3487.00,3314.00,2695.00,5884.00,23989.00,25597.00,24738.00,11407.00,4273.00,11485.00,11956.00,9135.00,9785.00,6126.00,4750.00,4260.00,2732.00,2850.00,5989.00
ET041007,Kurfa Chele,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,84664.00,42554.00,42110.00,13030.00,13904.00,12961.00,6555.00,2455.00,6160.00,6022.00,4622.00,4914.00,3264.00,2488.00,2061.00,1601.00,1473.00,3154.00,6788.00,7243.00,6510.00,3465.00,1298.00,2969.00,2765.00,2194.00,2324.00,1650.00,1237.00,938.00,883.00,722.00,1568.00,6242.00,6661.00,6452.00,3090.00,1158.00,3192.00,3257.00,2428.00,2589.00,1614.00,1251.00,1123.00,718.00,751.00,1587.00
ET041008,Kersa (East Hararge),,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,242376.00,121478.00,120898.00,37775.00,40308.00,37542.00,18573.00,6957.00,17117.00,16720.00,13067.00,13998.00,9352.00,7119.00,5921.00,4617.00,4236.00,9073.00,19636.00,20952.00,18824.00,9845.00,3688.00,8260.00,7555.00,6116.00,6561.00,4703.00,3514.00,2688.00,2546.00,2074.00,4520.00,18140.00,19356.00,18719.00,8729.00,3270.00,8858.00,9165.00,6951.00,7436.00,4649.00,3605.00,3234.00,2071.00,2163.00,4553.00
ET041009,Meta,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,246889.00,124357.00,122533.00,38148.00,40705.00,37931.00,19053.00,7137.00,17795.00,17399.00,13430.00,14307.00,9521.00,7255.00,6016.00,4681.00,4300.00,9209.00,19907.00,21242.00,19089.00,10112.00,3788.00,8617.00,7988.00,6372.00,6772.00,4821.00,3609.00,2745.00,2588.00,2112.00,4593.00,18240.00,19463.00,18842.00,8940.00,3349.00,9178.00,9411.00,7058.00,7535.00,4701.00,3646.00,3271.00,2092.00,2188.00,4616.00
ET041010,Goro Gutu,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,205864.00,104597.00,101267.00,32059.00,34208.00,31848.00,15800.00,5918.00,14571.00,14233.00,11108.00,11888.00,7944.00,6047.00,5021.00,3924.00,3595.00,7699.00,16873.00,18005.00,16177.00,8482.00,3178.00,7141.00,6549.00,5285.00,5659.00,4050.00,3028.00,2313.00,2189.00,1784.00,3886.00,15185.00,16204.00,15671.00,7317.00,2741.00,7431.00,7685.00,5823.00,6228.00,3893.00,3020.00,2708.00,1735.00,1811.00,3814.00
ET041011,Deder,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,314226.00,154383.00,159843.00,49432.00,52745.00,49124.00,23849.00,8934.00,21661.00,21183.00,16796.00,18101.00,12134.00,9231.00,7709.00,6009.00,5515.00,11804.00,25207.00,26897.00,24158.00,12465.00,4669.00,10287.00,9270.00,7627.00,8268.00,5969.00,4450.00,3422.00,3258.00,2648.00,5788.00,24225.00,25849.00,24966.00,11385.00,4264.00,11374.00,11913.00,9168.00,9833.00,6165.00,4780.00,4286.00,2750.00,2867.00,6016.00
ET041012,Melka Balo,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,250595.00,127330.00,123266.00,39299.00,41933.00,39019.00,19119.00,7162.00,17432.00,17030.00,13431.00,14433.00,9676.00,7360.00,6122.00,4795.00,4387.00,9394.00,20678.00,22063.00,19820.00,10301.00,3859.00,8578.00,7793.00,6355.00,6851.00,4927.00,3678.00,2819.00,2677.00,2179.00,4755.00,18621.00,19870.00,19199.00,8819.00,3304.00,8855.00,9238.00,7076.00,7582.00,4749.00,3683.00,3303.00,2119.00,2209.00,4640.00
ET041013,Bedeno,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,338690.00,169870.00,168820.00,53402.00,56981.00,53023.00,25700.00,9627.00,23235.00,22700.00,18055.00,19475.00,13082.00,9947.00,8296.00,6495.00,5945.00,12727.00,27763.00,29624.00,26608.00,13711.00,5136.00,11296.00,10163.00,8377.00,9089.00,6566.00,4895.00,3767.00,3587.00,2915.00,6374.00,25638.00,27357.00,26415.00,11990.00,4492.00,11938.00,12538.00,9678.00,10385.00,6515.00,5052.00,4530.00,2908.00,3030.00,6353.00
ET041014,Midhaga Tola,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,107943.00,55221.00,52722.00,16743.00,17865.00,16634.00,8322.00,3117.00,7723.00,7530.00,5841.00,6237.00,4163.00,3169.00,2628.00,2054.00,1882.00,4033.00,8883.00,9478.00,8517.00,4483.00,1679.00,3790.00,3491.00,2805.00,2995.00,2139.00,1600.00,1220.00,1153.00,940.00,2047.00,7860.00,8388.00,8118.00,3839.00,1438.00,3933.00,4039.00,3036.00,3243.00,2023.00,1569.00,1408.00,901.00,941.00,1987.00
ET041015,Chinaksen,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,126327.00,64742.00,61585.00,19128.00,20410.00,19039.00,9927.00,3719.00,9551.00,9323.00,6997.00,7367.00,4863.00,3712.00,3057.00,2371.00,2183.00,4680.00,10166.00,10847.00,9753.00,5301.00,1986.00,4651.00,4419.00,3430.00,3581.00,2516.00,1891.00,1424.00,1330.00,1089.00,2356.00,8962.00,9563.00,9285.00,4627.00,1733.00,4900.00,4904.00,3566.00,3786.00,2346.00,1820.00,1633.00,1041.00,1094.00,2324.00
ET041016,Girawa,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,336313.00,169633.00,166680.00,53333.00,56908.00,52921.00,25402.00,9515.00,22734.00,22213.00,17827.00,19293.00,12998.00,9876.00,8245.00,6474.00,5914.00,12659.00,27863.00,29731.00,26700.00,13666.00,5119.00,11165.00,9966.00,8286.00,9038.00,6553.00,4880.00,3766.00,3594.00,2918.00,6389.00,25470.00,27177.00,26221.00,11737.00,4397.00,11569.00,12246.00,9542.00,10255.00,6445.00,4997.00,4480.00,2878.00,2996.00,6270.00
ET041017,Golo Oda,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,115923.00,57106.00,58818.00,18045.00,19255.00,17946.00,8874.00,3324.00,8198.00,8026.00,6265.00,6707.00,4473.00,3407.00,2836.00,2203.00,2026.00,4337.00,9215.00,9833.00,8835.00,4631.00,1734.00,3896.00,3572.00,2883.00,3089.00,2211.00,1653.00,1263.00,1195.00,974.00,2122.00,8830.00,9422.00,9111.00,4244.00,1589.00,4302.00,4455.00,3381.00,3618.00,2262.00,1754.00,1574.00,1008.00,1052.00,2215.00
ET041018,Meyu Muleke,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,65610.00,33036.00,32573.00,10218.00,10903.00,10154.00,5032.00,1885.00,4642.00,4535.00,3541.00,3790.00,2532.00,1927.00,1602.00,1250.00,1146.00,2455.00,5332.00,5689.00,5112.00,2679.00,1004.00,2253.00,2065.00,1668.00,1787.00,1279.00,956.00,730.00,692.00,564.00,1228.00,4886.00,5214.00,5042.00,2353.00,882.00,2389.00,2471.00,1873.00,2003.00,1252.00,971.00,872.00,559.00,583.00,1227.00
ET041019,Haromaya town,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,56168.00,28471.00,27697.00,6194.00,6609.00,6351.00,5352.00,2005.00,6798.00,6657.00,3895.00,3605.00,2114.00,1660.00,1273.00,891.00,876.00,1890.00,3281.00,3501.00,3178.00,2548.00,954.00,3036.00,3505.00,2191.00,1911.00,1145.00,905.00,592.00,478.00,418.00,828.00,2912.00,3108.00,3172.00,2804.00,1050.00,3762.00,3152.00,1704.00,1694.00,969.00,755.00,681.00,413.00,458.00,1062.00
ET041089,Goro Muti,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,112970.00,56341.00,56629.00,18088.00,19301.00,17942.00,8457.00,3168.00,7445.00,7270.00,5928.00,6457.00,4369.00,3316.00,2779.00,2185.00,1995.00,4269.00,9357.00,9984.00,8964.00,4520.00,1693.00,3622.00,3175.00,2693.00,2973.00,2173.00,1614.00,1254.00,1203.00,974.00,2140.00,8731.00,9316.00,8978.00,3937.00,1475.00,3822.00,4095.00,3235.00,3485.00,2196.00,1702.00,1526.00,982.00,1020.00,2129.00
ET041097,Deder town,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,23678.00,12521.00,11157.00,2616.00,2792.00,2676.00,2250.00,843.00,2851.00,2811.00,1650.00,1523.00,894.00,702.00,535.00,377.00,368.00,792.00,1443.00,1540.00,1398.00,1120.00,420.00,1335.00,1542.00,963.00,840.00,504.00,398.00,260.00,210.00,184.00,364.00,1173.00,1252.00,1278.00,1130.00,423.00,1515.00,1270.00,687.00,682.00,390.00,304.00,274.00,166.00,185.00,428.00
ET041098,Kumbi,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,31400.00,15815.00,15585.00,5029.00,5367.00,4987.00,2352.00,881.00,2069.00,2018.00,1646.00,1793.00,1214.00,922.00,772.00,608.00,554.00,1187.00,2627.00,2803.00,2516.00,1269.00,475.00,1017.00,891.00,756.00,834.00,610.00,453.00,352.00,338.00,274.00,601.00,2403.00,2564.00,2471.00,1084.00,406.00,1052.00,1127.00,890.00,959.00,604.00,468.00,420.00,270.00,281.00,586.00
ET041099,Aweday town,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,14048.00,7153.00,6895.00,1549.00,1653.00,1588.00,1338.00,501.00,1699.00,1665.00,975.00,902.00,529.00,415.00,318.00,223.00,219.00,472.00,824.00,880.00,799.00,640.00,240.00,763.00,881.00,550.00,480.00,288.00,227.00,149.00,120.00,105.00,208.00,725.00,774.00,790.00,698.00,261.00,936.00,785.00,424.00,422.00,241.00,188.00,170.00,103.00,114.00,264.00
ET041104,Agarfa,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,147543.00,74774.00,72769.00,22460.00,23965.00,22354.00,11542.00,4323.00,11025.00,10753.00,8127.00,8588.00,5680.00,4334.00,3579.00,2776.00,2556.00,5480.00,11818.00,12610.00,11337.00,6108.00,2288.00,5308.00,5002.00,3918.00,4115.00,2904.00,2179.00,1646.00,1543.00,1262.00,2735.00,10642.00,11355.00,11018.00,5433.00,2035.00,5717.00,5751.00,4208.00,4474.00,2776.00,2154.00,1933.00,1233.00,1294.00,2745.00
ET041106,Gasera,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,111600.00,56822.00,54779.00,17442.00,18611.00,17321.00,8550.00,3203.00,7842.00,7640.00,5992.00,6430.00,4306.00,3276.00,2723.00,2133.00,1952.00,4182.00,9216.00,9834.00,8834.00,4599.00,1723.00,3838.00,3492.00,2843.00,3061.00,2199.00,1642.00,1257.00,1194.00,972.00,2119.00,8225.00,8777.00,8487.00,3951.00,1480.00,4004.00,4147.00,3149.00,3370.00,2107.00,1634.00,1465.00,939.00,980.00,2063.00
ET041109,Sinana,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,164730.00,85599.00,79132.00,26417.00,28188.00,26165.00,12369.00,4633.00,10845.00,10546.00,8612.00,9386.00,6370.00,4831.00,4037.00,3200.00,2906.00,6226.00,14216.00,15169.00,13619.00,6867.00,2573.00,5504.00,4824.00,4091.00,4516.00,3302.00,2453.00,1904.00,1828.00,1481.00,3251.00,12200.00,13018.00,12546.00,5502.00,2061.00,5341.00,5722.00,4520.00,4870.00,3068.00,2378.00,2132.00,1372.00,1426.00,2975.00
ET041110,Goba (OR),,Bale,ET0411,Oromia,ET04,Ethiopia,ET,56638.00,28483.00,28154.00,9071.00,9679.00,8995.00,4243.00,1589.00,3732.00,3641.00,2970.00,3235.00,2190.00,1662.00,1392.00,1096.00,1000.00,2140.00,4731.00,5048.00,4532.00,2285.00,856.00,1831.00,1605.00,1361.00,1503.00,1099.00,816.00,634.00,608.00,493.00,1082.00,4341.00,4632.00,4464.00,1957.00,733.00,1900.00,2036.00,1608.00,1733.00,1092.00,846.00,759.00,488.00,507.00,1058.00
ET041111,Harena Buluk,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,116240.00,58689.00,57551.00,18170.00,19388.00,18049.00,8890.00,3330.00,8151.00,7962.00,6249.00,6704.00,4486.00,3414.00,2839.00,2219.00,2033.00,4354.00,9508.00,10145.00,9115.00,4752.00,1780.00,3973.00,3621.00,2942.00,3164.00,2271.00,1696.00,1299.00,1232.00,1003.00,2188.00,8662.00,9243.00,8935.00,4138.00,1550.00,4179.00,4340.00,3307.00,3540.00,2215.00,1717.00,1541.00,987.00,1030.00,2167.00
ET041112,Mena (Bale),,Bale,ET0411,Oromia,ET04,Ethiopia,ET,129276.00,65265.00,64011.00,19735.00,21058.00,19640.00,10082.00,3777.00,9591.00,9366.00,7107.00,7521.00,4979.00,3798.00,3140.00,2435.00,2242.00,4804.00,10335.00,11028.00,9913.00,5327.00,1995.00,4617.00,4340.00,3408.00,3586.00,2534.00,1901.00,1437.00,1349.00,1102.00,2390.00,9400.00,10030.00,9727.00,4754.00,1781.00,4975.00,5026.00,3699.00,3935.00,2446.00,1897.00,1702.00,1087.00,1139.00,2414.00
ET041113,Meda Welabu,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,136856.00,68422.00,68434.00,21642.00,23093.00,21486.00,10359.00,3881.00,9321.00,9100.00,7271.00,7860.00,5287.00,4018.00,3356.00,2629.00,2405.00,5149.00,11224.00,11977.00,10756.00,5515.00,2066.00,4515.00,4039.00,3351.00,3650.00,2644.00,1969.00,1518.00,1449.00,1176.00,2575.00,10417.00,11115.00,10730.00,4844.00,1815.00,4806.00,5062.00,3921.00,4210.00,2642.00,2049.00,1837.00,1180.00,1229.00,2575.00
ET041114,Berbere,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,128414.00,65399.00,63015.00,20061.00,21406.00,19923.00,9836.00,3685.00,9026.00,8805.00,6902.00,7403.00,4955.00,3770.00,3133.00,2453.00,2245.00,4810.00,10592.00,11302.00,10153.00,5296.00,1984.00,4430.00,4039.00,3280.00,3527.00,2531.00,1891.00,1447.00,1372.00,1117.00,2437.00,9470.00,10104.00,9770.00,4540.00,1700.00,4597.00,4765.00,3622.00,3876.00,2425.00,1880.00,1686.00,1081.00,1128.00,2372.00
ET041115,Gura Damole,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,40810.00,20150.00,20659.00,6416.00,6846.00,6375.00,3098.00,1161.00,2816.00,2757.00,2184.00,2352.00,1576.00,1199.00,1001.00,780.00,716.00,1532.00,3283.00,3503.00,3147.00,1628.00,610.00,1348.00,1219.00,999.00,1081.00,779.00,582.00,446.00,425.00,345.00,754.00,3134.00,3343.00,3229.00,1470.00,550.00,1467.00,1538.00,1185.00,1271.00,797.00,618.00,554.00,356.00,371.00,778.00
ET041116,Goro (Bale),,Bale,ET0411,Oromia,ET04,Ethiopia,ET,119217.00,60514.00,58702.00,18322.00,19550.00,18222.00,9257.00,3468.00,8718.00,8498.00,6506.00,6913.00,4593.00,3500.00,2898.00,2256.00,2072.00,4443.00,9657.00,10305.00,9261.00,4927.00,1845.00,4219.00,3927.00,3118.00,3304.00,2347.00,1758.00,1335.00,1257.00,1026.00,2230.00,8664.00,9246.00,8960.00,4331.00,1622.00,4500.00,4571.00,3388.00,3609.00,2246.00,1743.00,1564.00,998.00,1046.00,2213.00
ET041119,Robe Town,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,81152.00,40572.00,40580.00,8943.00,9542.00,9177.00,7739.00,2899.00,9838.00,9613.00,5619.00,5205.00,3051.00,2396.00,1842.00,1286.00,1266.00,2736.00,4676.00,4989.00,4529.00,3630.00,1360.00,4327.00,4995.00,3122.00,2723.00,1632.00,1289.00,843.00,681.00,595.00,1180.00,4267.00,4553.00,4648.00,4108.00,1539.00,5512.00,4617.00,2497.00,2482.00,1419.00,1106.00,998.00,605.00,671.00,1556.00
ET041120,Goba town,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,58650.00,27338.00,31312.00,6443.00,6875.00,6638.00,5616.00,2104.00,7168.00,6929.00,4030.00,3750.00,2195.00,1722.00,1339.00,926.00,919.00,1995.00,3151.00,3362.00,3052.00,2446.00,916.00,2916.00,3366.00,2104.00,1835.00,1099.00,869.00,568.00,459.00,401.00,795.00,3293.00,3513.00,3586.00,3170.00,1187.00,4253.00,3563.00,1927.00,1915.00,1095.00,854.00,770.00,467.00,518.00,1201.00
ET041122,Dinsho,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,56086.00,27425.00,28660.00,8701.00,9284.00,8658.00,4305.00,1613.00,4001.00,3913.00,3039.00,3249.00,2163.00,1648.00,1372.00,1064.00,979.00,2097.00,4417.00,4713.00,4234.00,2225.00,834.00,1879.00,1726.00,1390.00,1486.00,1062.00,794.00,606.00,574.00,467.00,1018.00,4284.00,4571.00,4423.00,2080.00,779.00,2122.00,2187.00,1649.00,1763.00,1101.00,854.00,766.00,490.00,512.00,1079.00
ET041199,Dawe Serer,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,59974.00,31500.00,28473.00,9622.00,10267.00,9526.00,4507.00,1688.00,3947.00,3834.00,3132.00,3414.00,2319.00,1758.00,1468.00,1166.00,1058.00,2267.00,5232.00,5582.00,5012.00,2527.00,947.00,2025.00,1775.00,1506.00,1662.00,1215.00,903.00,701.00,673.00,545.00,1196.00,4390.00,4684.00,4514.00,1980.00,742.00,1922.00,2059.00,1627.00,1752.00,1104.00,856.00,767.00,494.00,513.00,1070.00
ET041207,Yabelo,,Borena,ET0412,Oromia,ET04,Ethiopia,ET,60423.00,29318.00,31105.00,9665.00,10313.00,9596.00,4515.00,1691.00,3985.00,3901.00,3178.00,3461.00,2337.00,1775.00,1490.00,1165.00,1067.00,2283.00,4869.00,5196.00,4665.00,2352.00,881.00,1885.00,1652.00,1401.00,1547.00,1131.00,840.00,652.00,626.00,507.00,1114.00,4796.00,5117.00,4931.00,2163.00,810.00,2100.00,2249.00,1777.00,1914.00,1206.00,935.00,838.00,539.00,560.00,1169.00
ET041208,Arero,,Borena,ET0412,Oromia,ET04,Ethiopia,ET,50282.00,24901.00,25381.00,7773.00,8294.00,7733.00,3875.00,1452.00,3619.00,3539.00,2734.00,2915.00,1939.00,1477.00,1227.00,952.00,877.00,1877.00,3994.00,4261.00,3829.00,2023.00,758.00,1719.00,1591.00,1271.00,1354.00,966.00,722.00,550.00,519.00,423.00,921.00,3779.00,4033.00,3904.00,1852.00,694.00,1900.00,1949.00,1462.00,1561.00,974.00,755.00,677.00,434.00,453.00,957.00
