ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
West Guji,ET0415,Oromia,ET04,Ethiopia,ET,1263044.00,629429.00,633615.00,196697.00,209884.00,195536.00,96803.00,36261.00,89344.00,87297.00,68153.00,72987.00,48729.00,37103.00,30867.00,24040.00,22073.00,47272.00,101690.00,108509.00,97487.00,51016.00,19111.00,42840.00,39211.00,31717.00,34015.00,24371.00,18208.00,13922.00,13184.00,10739.00,23410.00,95008.00,101379.00,98050.00,45787.00,17152.00,46503.00,48085.00,36436.00,38971.00,24360.00,18891.00,16943.00,10851.00,11335.00,23862.00
Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,837125.00,417674.00,419448.00,129532.00,138216.00,128829.00,64530.00,24173.00,60172.00,58746.00,45428.00,48473.00,32274.00,24588.00,20424.00,15877.00,14594.00,31269.00,67094.00,71593.00,64331.00,33921.00,12706.00,28747.00,26523.00,21265.00,22679.00,16185.00,12108.00,9227.00,8717.00,7108.00,15465.00,62439.00,66626.00,64496.00,30605.00,11464.00,31423.00,32221.00,24161.00,25796.00,16089.00,12479.00,11194.00,7164.00,7490.00,15801.00
West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2996669.00,1469914.00,1526756.00,450058.00,480227.00,448939.00,236204.00,88479.00,230260.00,225134.00,167332.00,175609.00,115250.00,88096.00,72716.00,55804.00,51718.00,110841.00,229213.00,244579.00,219944.00,120646.00,45194.00,106932.00,102424.00,78808.00,81766.00,57183.00,43034.00,32274.00,30052.00,24652.00,53216.00,220845.00,235648.00,228998.00,115562.00,43288.00,123327.00,122708.00,88522.00,93842.00,58067.00,45062.00,40439.00,25753.00,27068.00,57623.00
Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,1183360.00,590518.00,592838.00,181979.00,194178.00,181073.00,91640.00,34327.00,86259.00,84307.00,64642.00,68708.00,45610.00,34773.00,28827.00,22362.00,20585.00,44094.00,94192.00,100506.00,90329.00,48087.00,18010.00,41200.00,38375.00,30450.00,32253.00,22903.00,17158.00,13022.00,12262.00,10014.00,21749.00,87785.00,93670.00,90742.00,43559.00,16315.00,45057.00,45931.00,34192.00,36456.00,22705.00,17614.00,15800.00,10101.00,10573.00,22343.00
Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,827762.00,411555.00,416207.00,123939.00,132247.00,123605.00,65486.00,24532.00,64079.00,62582.00,46323.00,48523.00,31825.00,24326.00,20044.00,15405.00,14265.00,30582.00,64003.00,68296.00,61422.00,33810.00,12666.00,30083.00,28902.00,22165.00,22941.00,16016.00,12060.00,9032.00,8396.00,6895.00,14868.00,59934.00,63954.00,62183.00,31678.00,11867.00,33994.00,33677.00,24155.00,25581.00,15808.00,12267.00,11013.00,7008.00,7369.00,15713.00
Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,1113558.00,574976.00,538580.00,154110.00,164442.00,154471.00,93267.00,34937.00,99993.00,98146.00,66796.00,67104.00,42613.00,32827.00,26385.00,19879.00,18630.00,39960.00,82358.00,87882.00,79220.00,48521.00,18176.00,47909.00,49651.00,35015.00,34048.00,22605.00,17282.00,12414.00,11101.00,9270.00,19539.00,71751.00,76559.00,75253.00,44747.00,16760.00,52083.00,48495.00,31782.00,33060.00,20007.00,15546.00,13974.00,8778.00,9363.00,20420.00
East Bale,ET0421,Oromia,ET04,Ethiopia,ET,554232.00,312927.00,241305.00,85908.00,91666.00,85049.00,43217.00,16189.00,40020.00,38633.00,29846.00,31821.00,21358.00,16230.00,13339.00,10638.00,9626.00,20689.00,50294.00,53664.00,48223.00,25410.00,9516.00,21516.00,19837.00,15918.00,16985.00,12124.00,9068.00,6914.00,6531.00,5325.00,11592.00,35612.00,38000.00,36828.00,17807.00,6671.00,18504.00,18795.00,13928.00,14838.00,9234.00,7162.00,6425.00,4107.00,4300.00,9096.00
Siti,ET0501,Somali,ET05,Ethiopia,ET,661463.00,350967.00,310496.00,119418.00,127423.00,109688.00,49367.00,18491.00,40492.00,40597.00,33602.00,28885.00,27638.00,16969.00,19326.00,7838.00,8409.00,13315.00,64923.00,69276.00,63200.00,25960.00,9726.00,18456.00,17401.00,17049.00,14273.00,14799.00,7557.00,10016.00,4615.00,5019.00,8696.00,54493.00,58148.00,46488.00,23406.00,8768.00,22038.00,23195.00,16553.00,14614.00,12839.00,9411.00,9308.00,3225.00,3391.00,4620.00
Fafan,ET0502,Somali,ET05,Ethiopia,ET,1284307.00,681771.00,602533.00,227244.00,242477.00,208304.00,98685.00,36968.00,83063.00,80118.00,67181.00,56399.00,53933.00,33549.00,36950.00,15576.00,16916.00,26950.00,123956.00,132264.00,119436.00,52050.00,19496.00,38693.00,35001.00,34020.00,27462.00,29236.00,15324.00,19103.00,9124.00,9813.00,16785.00,103290.00,110215.00,88863.00,46635.00,17469.00,44368.00,45118.00,33163.00,28935.00,24698.00,18225.00,17847.00,6449.00,7103.00,10165.00
Jarar,ET0503,Somali,ET05,Ethiopia,ET,659981.00,350249.00,309734.00,118185.00,126107.00,108467.00,49850.00,18672.00,41331.00,40775.00,33929.00,28886.00,27631.00,17057.00,19163.00,7897.00,8513.00,13515.00,64339.00,68652.00,62374.00,26249.00,9830.00,19011.00,17618.00,17204.00,14189.00,14871.00,7678.00,9921.00,4641.00,5020.00,8658.00,53845.00,57457.00,46090.00,23603.00,8841.00,22319.00,23158.00,16732.00,14697.00,12763.00,9379.00,9242.00,3256.00,3492.00,4859.00
